name,company_email,service_years,sign_up_date,office_location,business_phone,position,hearing_impairment
Joseph Hill,burtonadam@russell-lyons.net,14,2022-09-27,Lake Johnathan,001-884-716-3560x01129,"Engineer, technical sales",False
Evan Wright DVM,jamesharmon@richards-jacobs.com,35,2022-05-17,Lake Debra,6028729386,Chief Financial Officer,True
Natalie Snyder,vallen@williams-rodgers.net,25,2021-10-27,Jonathanborough,583-544-6364,Heritage manager,False
Michael Lowe,brownjoshua@gutierrez.biz,10,2020-01-13,Jeremytown,911.625.6851,Chartered loss adjuster,False
Erica Carson,dorothycampbell@chambers-thomas.net,25,2023-07-01,Port Victoria,+1-476-610-4105x93417,Magazine journalist,False
Bryan Thompson,kylejohnston@hines.com,22,2023-04-14,Lake Kara,4916800260,"Production assistant, radio",False
Caleb Smith,jeffery09@melton-king.biz,28,2021-07-31,Lisahaven,880-654-3660x76690,Geophysicist/field seismologist,False
Renee Richards,christinesimpson@johnston.net,40,2021-11-21,Jacobfort,(701)773-8962x519,"Scientist, research (medical)",False
Jonathan Wilson,alexander61@golden-hall.com,23,2021-09-08,Lake Antonio,428-545-3061x158,Mechanical engineer,False
Christine Brooks,cortezjames@peters.net,29,2020-02-11,Michaelborough,+1-857-400-8167,"Engineer, building services",False
Alice Bartlett,ymyers@levine.com,9,2022-10-05,Harmonfort,426-872-8432x49761,Aid worker,False
James Woods,andersonjessica@knapp.com,1,2021-03-02,Woodston,001-795-779-2690x07825,Town planner,False
Donald Benjamin,kevin53@glass.org,27,2020-10-15,Jonesstad,001-580-506-7360x1736,Camera operator,False
Hannah Ortiz,ugardner@steele.info,11,2022-02-17,Sanchezton,8353738282,Local government officer,False
Matthew Rangel,kimberly84@taylor-lindsey.com,20,2023-12-28,Armstrongland,9555198783,Commissioning editor,True
Dr. Evan Newton,marshalltimothy@lee.info,10,2022-05-20,East Scott,3588918315,"Geologist, wellsite",True
Eric Robbins,goodwinleslie@carroll.com,13,2020-11-21,Walkerstad,976.859.1640x2035,"Designer, graphic",False
Sonya Woods,blopez@phelps.info,29,2021-11-02,New Jennifer,(783)234-3092,"Editor, magazine features",True
Debra Edwards,smithdavid@brown-smith.com,27,2021-03-21,Port Emily,+1-569-281-1424x260,Plant breeder/geneticist,False
Karen Mcdonald,janepearson@brown.com,23,2021-04-18,Kellermouth,(876)279-6018x439,Statistician,False
Corey Hawkins,hharrison@harrison.com,20,2023-11-29,Ginachester,441-207-2069,Rural practice surveyor,False
Amanda Flores,valerie64@martinez.org,2,2023-03-16,Aaronville,+1-483-619-8962x1420,Hydrologist,False
Jimmy Kane,robertjohnson@sanders.net,29,2020-03-30,East Sierra,399-369-9146x298,"Journalist, newspaper",True
Shane Powers,freemandiana@kramer-gill.com,7,2022-10-13,Lake Michael,805-514-1521x1277,Educational psychologist,True
Samuel Riley,shepherddavid@smith.com,6,2020-05-12,Daviston,240-822-5477x982,Environmental consultant,False
